Sample_Name,Data File,Acq. Date-Time,Type,Vial,"Propylene glycol, 2TMS derivative ","Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester ","Lactic Acid, 2TMS derivative ","3-Hydroxybutyric acid, 2TMS derivative ","Urea, 3TMS derivative ","L-Norvaline, 2TMS derivative ","Urea, 2TMS derivative ","L-Norleucine, 2TMS derivative ","2-Butenedioic acid, (E)-, 2TMS derivative ",Unknown 8.6806 ,"Malic acid, 3TMS derivative ","Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester ","Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester_2 ","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester ","Tartaric acid, 4TMS derivative ",Unknown 14.7511 ,Unknown 15.1548 ,Unknown 15.6174 ,Unknown 15.8049 ,"Isocitric acid lactone, 2TMS derivative ","Vanillic Acid, 2TMS derivative ","9H-Purin-6-ol, 2TMS derivative ","Citric acid, 4TMS derivative ","Pentaric acid, 2,3-dideoxy-4-O-(trimethylsilyl)-3-[[(trimethylsilyl)oxy]carbonyl]-, bis(trimethylsilyl) ester ","Caffeic acid, 3TMS derivative ","Kynurenine, 3TMS derivative "
22_Blank_1,22_Blank_1.D,7/6/2023 8:07,Blank,23,,,7231,8067,3846,1404,3718,2126,10800,1696,400,81,427,284,295,136,62,364,46,,,1718,1426,,172,2199
23_Standards_A_3,23_Standards_A_3.D,7/6/2023 17:08,Standard,2,7846198,,857150,998929,,5568083,3895,5922491,258750,718,43884857,4017109,47423897,263907,1063556,96,88,318,228,310473,1070794,172,9204287,8932049,10070,827
24_Standards_B_3,24_Standards_B_3.D,7/6/2023 17:43,Standard,3,1876339,98,38920,628550,1361,4258913,9513,4324327,103028,1281,21931128,1282450,21520536,945597,604604,75,50,2752,160,895470,802675,1176,3763414,31698928,38208,6372
25_Standards_C_3,25_Standards_C_3.D,7/6/2023 18:18,Standard,4,4420724,,232417,884091,812,5651575,2539,5654228,665196,492,73082711,1030575,18374914,6668136,1190321,472,315,3184,,1031002,967207,390,3855863,33113115,1658,190613
28_Pollen_4,28_Pollen_4.D,7/6/2023 20:02,Pollen,7,11174815,,59323,858592,,4394795,4734,4650830,357908,2405,478397,341,6523,10454,581943,166,304,551,,734,1603388,29653,237081,78763,48617,
29_Bee_2_4_0d,29_Bee_2_4_0d.D,7/6/2023 20:46,Bee,8,650017,,8846,1842311,23237,9946576,86389,9641645,90728,1366,194400,3490,88674,43135,1456206,,193,56,194,317,2722459,5641,374531,37491,1555,3597
30_Bee_2_4_6d,30_Bee_2_4_6d.D,7/6/2023 21:21,Bee,9,1206148,,9833,1840514,35590,9409299,103739,9141542,83491,3179,176933,2977,67964,457903,1870077,108,243,845,348,1241,2787816,12339,947577,172677,1123,48147
31_Standards_A_7,31_Standards_A_7.D,7/6/2023 21:57,Standard,10,5600381,753,72615,609710,122295,3495297,789105,4068937,47473491,1124,65318341,1006759,18247773,6821827,384458,535,317,3146,176,1093478,764440,1779,1642,39955021,1986,46
34_Pollen_5,34_Pollen_5.D,7/6/2023 23:43,Pollen,13,12778802,,72476,999925,,5286199,1983,5557213,260822,1132,319072,431,2987,10440,718263,,370,134,891,,1843358,84644,209434,71912,33346,
35_Bee_2_5_0d,35_Bee_2_5_0d.D,7/7/2023 0:26,Bee,14,678219,,10183,1671089,27051,9584163,204249,9389602,212310,1287,574207,6334,205417,73834,1406698,354,,,186,740,2589861,6375,460249,52182,1311,3255
36_Bee_2_5_6d,36_Bee_2_5_6d.D,7/7/2023 1:01,Bee,15,1466025,,13770,2091653,37968,9757932,367646,9363030,140342,422,284116,4513,108977,767609,1866121,188,257,1192,354,2781,3005920,20637,1114428,201289,1197,99049
39_Standards_B_7,39_Standards_B_7.D,7/7/2023 2:46,Standard,18,3009150,,244160,579356,538293,3146828,3926522,3627090,23094657,2342,35469348,4030184,48588043,266247,369284,135,,1126,82,494772,765014,3112,,31634432,8423,18
40_Standards_C_7,40_Standards_C_7.D,7/7/2023 3:20,Standard,19,1715059,,1994824,551442,,3229859,2519,3660715,100863,944,22542527,1633988,26214429,1277890,377815,245,107,499,719,232866,847501,1421,,26449512,46744,789
41_Standards_A_8,41_Standards_A_8.D,7/7/2023 4:04,Standard,20,9856471,,8223,962530,9239782,6851635,59383855,7578212,7042449,2257,23671,119,2571,66120230,1047457,75,49,462,464,1700,1229058,481709,12097306,251990,84,40273
42_Bee_2_6_0d,42_Bee_2_6_0d.D,7/7/2023 4:39,Bee,21,,,6666,1729483,25015,10433479,153688,10633529,35259,997,42493,1270,20658,64243,1358143,564,342,176,838,53,2577129,7911,84037,10483,121,837
43_Bee_2_6_6d,43_Bee_2_6_6d.D,7/7/2023 5:15,Bee,22,1990014,,9420,2086572,61890,9144299,468787,8860760,195421,1566,439764,3671,99468,843305,1814150,28,243,1789,418,1990,2966243,29642,1225767,265059,,65169
44_Pollen_6,44_Pollen_6.D,7/7/2023 5:50,Pollen,23,12896159,43,90606,1049413,,5782849,1691,6177961,252052,1891,305072,412,2627,8335,683830,,395,1711,614,322,2028015,35549,144486,39657,122630,421
49_Standards_B_8,49_Standards_B_8.D,7/7/2023 17:07,Standard,6,10691547,13506,12952,1266893,8220754,8791961,76929360,9162455,158670,1363,8015,80,1384,45415429,1515051,68,74,426,7645,2827,1453593,3368789,5628155,1299906,40,721601
5_Standards_A_1,5_Standards_A_1.D,7/5/2023 21:44,Standard,6,12481431,30850,5095745,1090882,5364518,3671608,30789244,3651672,87289,813,4218,6420,399774,44724809,455564,240,157,,10715,169,899653,869267,539,61258,89,21
50_Pollen_1,50_Pollen_1.D,7/7/2023 17:42,Pollen,7,10225681,,66077,860222,,4184022,6892,4583114,222759,,265820,242,2551,8822,350930,38,290,320,,,1443601,118003,192096,67945,5912,478
53_Bee_2_7_0d,53_Bee_2_7_0d.D,7/7/2023 19:36,Bee,10,6145564,1805,9780,2088361,19306,10335467,113305,10415764,146446,2065,343878,3543,109000,65993,1405525,,92,518,,17,3027684,11320,334607,45284,33,2552
54_Bee_2_7_6d,54_Bee_2_7_6d.D,7/7/2023 20:12,Bee,11,4060142,705,11506,2200878,36321,10187472,215415,9502281,86577,1204,185881,3155,70152,341052,2074539,264,,832,,759,3089994,19891,994771,176569,,247216
57_Blank_A_2,57_Blank_A_2.D,7/7/2023 22:06,Blank,14,2859411,53,2572,15164,3058,1085,2929,2168,9879,750,865,117,785,661,440,22,,228,,55,607,1916,367,465,12,10
58_Standards_C_8,58_Standards_C_8.D,7/7/2023 22:41,Standard,15,8161814,270837,18455,1525880,8621706,8266382,49966472,8486432,1626483,,22321,811,16340,32012215,1108885,1680,467,4832,189863,6859,2745129,1395987,2527,9037818,23,
6_Standards_B_1,6_Standards_B_1.D,7/5/2023 22:19,Standard,7,7491852,,4110459,1696305,21676336,7537624,98792481,7336343,751362,918,2843,85485,3855910,33978330,964951,38,22,346,656,1176,1845136,363997,8376,850227,18,12
63_Standards_A_9,63_Standards_A_9.D,7/8/2023 1:44,Standard,20,11569351,861048,9149615,1351740,243,4023224,7794,3432049,11015,8100,313184,4051,140354,733,544969,100966,36564,25262,1327014,45,1216308,8441,1103689,12148,316920,3077020
66_Bee_2_8_0d,66_Bee_2_8_0d.D,7/8/2023 3:30,Bee,23,8408048,,8468,2350550,15710,11525893,73050,11056875,309639,3182,850036,5816,228544,32869,1806202,205,49,288,97,335,3351451,11740,388205,50787,,2540
67_Bee_2_8_6d,67_Bee_2_8_6d.D,7/8/2023 4:05,Bee,24,8799836,,12115,2533202,45072,11586944,144518,10661532,126184,,303274,4130,115797,411551,2580792,326,,1226,287,1080,3486463,21897,595271,70392,1117,118211
68_Pollen_1_8,68_Pollen_1_8.D,7/8/2023 4:41,Pollen,25,9910299,1142,57208,876156,,4281675,4035,4533752,302678,227,435431,848,13041,8127,507607,96,866,515,418,303,1536380,34359,210727,76465,42086,158
7_Standards_C_1,7_Standards_C_1.D,7/5/2023 23:03,Standard,8,5818552,854,4503864,732672,6420954,1080794,26500331,1078199,657151,1219,645,452,8830,6974343,137069,,37,190,598,171,1152404,31947,,817790,152,10
71_Standards_B_9,71_Standards_B_9.D,7/8/2023 6:34,Standard,28,11662669,686374,8402647,1573998,763,5763980,4803,5015183,19638,5446,3425691,31522,1440075,832,915522,41707,14924,22162,1152139,97,1831169,38020,74418,10692,4698539,2398158
74_Standards_C_9,74_Standards_C_9.D,7/8/2023 8:18,Standard,31,16719948,3865288,4318214,1601082,,5593837,3668,5928139,43826,10680,12067748,226059,7040359,280,697100,78990,33179,70949,3452954,,2601768,3601,381930,5410,4212730,1412855
8_Pollen_1,8_Pollen_1.D,7/5/2023 23:38,Pollen,9,20570677,,56263,748814,,4167381,1671,4316377,206551,942,220453,87,1607,12925,524936,,1059,791,,,1495166,224886,134645,46123,22075,1107
9_Pollen_2,9_Pollen_2.D,7/6/2023 0:14,Pollen,10,22524680,,68034,793742,,4373452,1453,4584174,235174,3128,249144,441,1586,7452,556253,70,722,,171,,1594098,71155,110902,41517,102878,357
